frame_index,time_sec,point_count,imu_status,imu_status_label,mapping_confidence
0,0.0,19968,0,stable,high
1,0.10027074,20064,0,stable,high
2,0.199846965,19968,0,stable,high
3,0.30024762,20160,0,stable,high
4,0.399765968,19776,0,stable,high
5,0.500152449,20160,0,stable,high
6,0.5999332310000001,19872,0,stable,high
7,0.700469972,20160,0,stable,high
8,0.800370741,19968,0,stable,high
9,0.900176258,20064,0,stable,high
10,0.999703347,19776,0,stable,high
11,1.1001441520000002,20160,0,stable,high
12,1.199850404,19872,0,stable,high
13,1.300185114,20160,0,stable,high
14,1.399859267,19968,0,stable,high
15,1.499736339,19968,0,stable,high
16,1.600786944,20064,0,stable,high
17,1.6998317550000002,19968,0,stable,high
18,1.8002995510000002,20064,0,stable,high
19,1.900386958,19968,0,stable,high
20,2.000064457,19968,0,stable,high
21,2.099927412,19968,0,stable,high
22,2.20039568,20160,0,stable,high
23,2.300660365,19872,0,stable,high
24,2.400103188,19968,0,stable,high
25,2.5003594710000003,20160,0,stable,high
26,2.600538851,19968,0,stable,high
27,2.7001135510000003,19968,0,stable,high
28,2.8006930320000003,20064,0,stable,high
29,2.9008198050000003,19968,0,stable,high
30,3.000673049,19872,0,stable,high
31,3.1003882980000004,20160,0,stable,high
32,3.199921454,19776,0,stable,high
33,3.300311455,20064,0,stable,high
34,3.400669756,20064,0,stable,high
35,3.5000830620000003,19968,0,stable,high
36,3.600694492,20160,0,stable,high
37,3.700380641,19872,0,stable,high
38,3.800478206,20064,0,stable,high
39,3.899972077,19872,0,stable,high
40,3.999727658,19872,0,stable,high
41,4.099758753000001,20064,0,stable,high
42,4.199814653000001,19968,0,stable,high
43,4.300290325000001,20160,0,stable,high
44,4.400401916,19968,0,stable,high
45,4.500123277,20064,0,stable,high
46,4.600597091,20064,0,stable,high
47,4.700497565,19872,0,stable,high
48,4.8001856830000005,20064,0,stable,high
49,4.900590423000001,19968,0,stable,high
50,5.0003552760000005,19968,0,stable,high
51,5.0998904330000006,19872,0,stable,high
52,5.200244145,20160,0,stable,high
53,5.300620608,19872,0,stable,high
54,5.400763689000001,20064,0,stable,high
55,5.500101644,19968,0,stable,high
56,5.599912796,19872,0,stable,high
57,5.700415424,20256,0,stable,high
58,5.800229623000001,19968,0,stable,high
59,5.900386892,19872,0,stable,high
60,6.000484049000001,20064,0,stable,high
61,6.100469666,19968,0,stable,high
62,6.2010368520000005,20064,0,stable,high
63,6.300367402,19968,0,stable,high
64,6.400190095,19968,0,stable,high
65,6.499899049000001,19968,0,stable,high
66,6.60026328,20160,0,stable,high
67,6.700306977,19872,0,stable,high
68,6.80013201,20064,0,stable,high
69,6.900365819,19968,0,stable,high
70,6.999937634,19968,0,stable,high
